group_id,group_title,action_id,action_name,role_id,role_name,raci
quality_risk_management,Quality & Risk Management,quality_risk_management__define_quality_standards,Define quality standards,product_owner,Product Owner,I
quality_risk_management,Quality & Risk Management,quality_risk_management__define_quality_standards,Define quality standards,senior_team_lead,Senior Team Lead,A
quality_risk_management,Quality & Risk Management,quality_risk_management__define_quality_standards,Define quality standards,team_lead,Team lead,C
quality_risk_management,Quality & Risk Management,quality_risk_management__define_quality_standards,Define quality standards,tech_lead,Tech lead,C
quality_risk_management,Quality & Risk Management,quality_risk_management__enforce_quality_gates,Enforce quality gates,delivery_manager,Delivery Manager,R
quality_risk_management,Quality & Risk Management,quality_risk_management__enforce_quality_gates,Enforce quality gates,delivery_manager,Delivery Manager,A
quality_risk_management,Quality & Risk Management,quality_risk_management__enforce_quality_gates,Enforce quality gates,delivery_manager,Delivery Manager,C
quality_risk_management,Quality & Risk Management,quality_risk_management__enforce_quality_gates,Enforce quality gates,product_owner,Product Owner,I
quality_risk_management,Quality & Risk Management,quality_risk_management__enforce_quality_gates,Enforce quality gates,senior_team_lead,Senior Team Lead,C
quality_risk_management,Quality & Risk Management,quality_risk_management__enforce_quality_gates,Enforce quality gates,team_lead,Team lead,C
quality_risk_management,Quality & Risk Management,quality_risk_management__enforce_quality_gates,Enforce quality gates,tech_lead,Tech lead,C
quality_risk_management,Quality & Risk Management,quality_risk_management__code_review_standards,Code review standards,delivery_manager,Delivery Manager,C
quality_risk_management,Quality & Risk Management,quality_risk_management__code_review_standards,Code review standards,senior_team_lead,Senior Team Lead,I
quality_risk_management,Quality & Risk Management,quality_risk_management__code_review_standards,Code review standards,team_lead,Team lead,C
quality_risk_management,Quality & Risk Management,quality_risk_management__code_review_standards,Code review standards,tech_lead,Tech lead,R
quality_risk_management,Quality & Risk Management,quality_risk_management__code_review_standards,Code review standards,tech_lead,Tech lead,A
quality_risk_management,Quality & Risk Management,quality_risk_management__technical_debt_prioritization,Technical debt prioritization,delivery_manager,Delivery Manager,C
quality_risk_management,Quality & Risk Management,quality_risk_management__technical_debt_prioritization,Technical debt prioritization,product_owner,Product Owner,I
quality_risk_management,Quality & Risk Management,quality_risk_management__technical_debt_prioritization,Technical debt prioritization,senior_team_lead,Senior Team Lead,I
quality_risk_management,Quality & Risk Management,quality_risk_management__technical_debt_prioritization,Technical debt prioritization,team_lead,Team lead,C
quality_risk_management,Quality & Risk Management,quality_risk_management__technical_debt_prioritization,Technical debt prioritization,tech_lead,Tech lead,R
quality_risk_management,Quality & Risk Management,quality_risk_management__technical_debt_prioritization,Technical debt prioritization,tech_lead,Tech lead,A
release_deployment,Release & Deployment,release_deployment__define_release_process_framework,Define release process framework,delivery_manager,Delivery Manager,R
release_deployment,Release & Deployment,release_deployment__define_release_process_framework,Define release process framework,delivery_manager,Delivery Manager,A
release_deployment,Release & Deployment,release_deployment__define_release_process_framework,Define release process framework,pre,PRE,C
release_deployment,Release & Deployment,release_deployment__define_release_process_framework,Define release process framework,product_owner,Product Owner,I
release_deployment,Release & Deployment,release_deployment__define_release_process_framework,Define release process framework,senior_team_lead,Senior Team Lead,I
release_deployment,Release & Deployment,release_deployment__define_release_process_framework,Define release process framework,team_lead,Team lead,C
release_deployment,Release & Deployment,release_deployment__define_release_process_framework,Define release process framework,tech_lead,Tech lead,C
release_deployment,Release & Deployment,release_deployment__plan_cross_team_release_coordination,Plan cross-team release coordination,delivery_manager,Delivery Manager,R
release_deployment,Release & Deployment,release_deployment__plan_cross_team_release_coordination,Plan cross-team release coordination,delivery_manager,Delivery Manager,A
release_deployment,Release & Deployment,release_deployment__plan_cross_team_release_coordination,Plan cross-team release coordination,pre,PRE,C
release_deployment,Release & Deployment,release_deployment__plan_cross_team_release_coordination,Plan cross-team release coordination,product_owner,Product Owner,C
release_deployment,Release & Deployment,release_deployment__plan_cross_team_release_coordination,Plan cross-team release coordination,senior_team_lead,Senior Team Lead,I
release_deployment,Release & Deployment,release_deployment__plan_cross_team_release_coordination,Plan cross-team release coordination,team_lead,Team lead,C
release_deployment,Release & Deployment,release_deployment__plan_cross_team_release_coordination,Plan cross-team release coordination,tech_lead,Tech lead,C
release_deployment,Release & Deployment,release_deployment__approve_release_scope,Approve release scope,delivery_manager,Delivery Manager,C
release_deployment,Release & Deployment,release_deployment__approve_release_scope,Approve release scope,pre,PRE,I
release_deployment,Release & Deployment,release_deployment__approve_release_scope,Approve release scope,product_owner,Product Owner,C
release_deployment,Release & Deployment,release_deployment__approve_release_scope,Approve release scope,senior_team_lead,Senior Team Lead,I
release_deployment,Release & Deployment,release_deployment__approve_release_scope,Approve release scope,team_lead,Team lead,R
release_deployment,Release & Deployment,release_deployment__approve_release_scope,Approve release scope,team_lead,Team lead,A
release_deployment,Release & Deployment,release_deployment__approve_release_scope,Approve release scope,tech_lead,Tech lead,C
release_deployment,Release & Deployment,release_deployment__quality_gates_enforcement,Quality gates enforcement,delivery_manager,Delivery Manager,R
release_deployment,Release & Deployment,release_deployment__quality_gates_enforcement,Quality gates enforcement,delivery_manager,Delivery Manager,A
release_deployment,Release & Deployment,release_deployment__quality_gates_enforcement,Quality gates enforcement,pre,PRE,C
release_deployment,Release & Deployment,release_deployment__quality_gates_enforcement,Quality gates enforcement,product_owner,Product Owner,I
release_deployment,Release & Deployment,release_deployment__quality_gates_enforcement,Quality gates enforcement,senior_team_lead,Senior Team Lead,I
